SMILES,value (% BOD),Salt Stripped Molecule,SMILES (Optimized Geometry),Converged,Energy,SMILES (RDKit Mol),SlogP,SMR,LabuteASA,TPSA,AMW,ExactMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi1n,Chi2n,Chi3n,Chi4n,HallKierAlpha,kappa1,kappa2,kappa3,slogp_VSA1,slogp_VSA2,slogp_VSA3,slogp_VSA4,slogp_VSA5,slogp_VSA6,slogp_VSA7,slogp_VSA8,slogp_VSA9,slogp_VSA10,slogp_VSA11,slogp_VSA12,smr_VSA1,smr_VSA2,smr_VSA3,smr_VSA4,smr_VSA5,smr_VSA6,smr_VSA7,smr_VSA8,smr_VSA9,smr_VSA10,peoe_VSA1,peoe_VSA2,peoe_VSA3,peoe_VSA4,peoe_VSA5,peoe_VSA6,peoe_VSA7,peoe_VSA8,peoe_VSA9,peoe_VSA10,peoe_VSA11,peoe_VSA12,peoe_VSA13,peoe_VSA14,MQN1,MQN2,MQN3,MQN4,MQN5,MQN6,MQN7,MQN8,MQN9,MQN10,MQN11,MQN12,MQN13,MQN14,MQN15,MQN16,MQN17,MQN18,MQN19,MQN20,MQN21,MQN22,MQN23,MQN24,MQN25,MQN26,MQN27,MQN28,MQN29,MQN30,MQN31,MQN32,MQN33,MQN34,MQN35,MQN36,MQN37,MQN38,MQN39,MQN40,MQN41,MQN42
CCC1(C(=O)NC(=O)NC1=O)c2ccccc2,0,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,1,-16.47820492,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2,0.7004,60.0924,98.19951532,75.27,232.239,232.0847922,5,2,2,2,3,4,5,17,29,2,1,1,1,0,1,1,1,0,0,0.25,9.318602999,5.33371621,3.862281316,3.026280987,2.064079211,5.33371621,3.862281316,3.026280987,2.064079211,-2.17,11.31940715,4.00892017,1.595455592,10.63357721,17.84547397,15.00406484,0,18.90801031,30.33183534,0,0,0,4.794537184,0,0,14.38361155,0,10.63357721,0,18.75954929,0,35.89528683,0,0,17.84547397,0,20.22265158,4.794537184,0,0,37.25557254,11.98427311,0,0,0,5.414990469,11.81435946,0,6.031114512,12,0,0,0,0,0,0,0,2,3,0,0,3,3,0,9,3,0,2,8,5,2,2,0,0,4,1,0,0,7,4,1,0,0,0,2,0,0,0,0,0,0
CC(O)C(O)=O,76,CC(O)C(=O)O,CC(O)C(=O)O,1,18.51507187,CC(O)C(O)=O,-0.5482,19.3166,35.21912486,57.53,90.078,90.03169405,3,2,1,2,2,0,3,6,12,0,0,0,0,0,0,0,0,0,0,0.666666667,3.380025751,1.551955237,1.014211137,0.35739023,0,1.551955237,1.014211137,0.35739023,0,-0.57,5.43,1.76763384,1.72154519,0,22.28632647,4.794537184,0,6.9237372,0,0,0,0,0,0,0,15.00759197,0,0,0,13.02770359,0,0,0,0,5.969305288,10.21305479,0,4.794537184,0,0,0,6.9237372,0,0,6.103966388,0,0,0,5.969305288,3,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0,1,6,3,2,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,0,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,1,56.61000444,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,6.4955,85.037,136.7347127,0,354.491,351.9146887,0,0,2,0,0,0,5,19,28,2,2,0,0,0,0,0,2,0,0,0.142857143,13.36561952,7.343493361,7.319538645,3.89260999,2.888780653,5.453670996,4.077727699,2.734003689,1.880875391,-0.11,15.28210125,6.114691574,3.932918957,0,3.792535936,0,0,17.04480903,48.53093655,10.04526663,0,0,0,0,58.00469945,0,0,0,0,9.710441982,0,69.70310616,0,0,58.00469945,0,0,0,0,0,82.27016773,35.39237126,10.04526663,5.917906046,0,0,3.792535936,0,0,14,0,5,0,0,0,0,0,0,0,0,0,8,0,0,6,6,0,2,0,0,0,0,0,0,5,0,1,1,8,4,0,0,0,0,2,0,0,0,0,0,0
OC(=O)c1c(Cl)ccc(Cl)c1Cl,1,O=C(O)c1c(Cl)ccc(Cl)c1Cl,O=C(O)c1c(Cl)ccc(Cl)c1Cl,1,13.71352211,OC(=O)c1c(Cl)ccc(Cl)c1Cl,3.345,48.4313,83.66189977,37.3,225.458,223.9198624,2,1,1,1,1,0,5,12,15,1,1,0,0,0,0,0,1,0,0,0,7.911842681,4.039254674,3.215708122,2.377111671,1.412915537,2.905361255,2.023343396,1.257856534,0.723117907,-0.44,9.64650519,3.519322271,1.657140002,0,11.07583268,0,0,10.35798868,12.13273414,15.06789994,0,0,0,0,34.80281967,9.901064579,0,0,0,0,0,32.76408557,0,0,40.77212496,5.106527395,0,4.794537184,0,0,34.80281967,12.13273414,0,20.63135143,0,0,0,0,5.969305288,7,0,3,0,0,0,0,0,0,2,0,0,5,1,0,3,3,0,1,4,2,1,1,0,0,5,0,1,0,2,4,0,0,0,0,1,0,0,0,0,0,0
OCC(O)C(O)C(O)C(O)CO,82,OCC(O)C(O)C(O)C(O)CO,OCC(O)C(O)C(O)C(O)CO,1,23.15533611,OCC(O)C(O)C(O)C(O)CO,-3.5854,38.1988,69.32936411,121.38,182.172,182.0790382,6,6,5,6,6,0,6,12,26,0,0,0,0,0,0,0,0,0,0,1,6.406896212,3.481747672,2.481028635,1.512478162,0.671208827,3.481747672,2.481028635,1.512478162,0.671208827,-0.24,11.76,5.41346133,3.015404674,0,68.26879385,0,0,0,0,0,0,0,0,0,0,30.63916437,0,0,0,24.41586555,13.21376393,0,0,0,0,30.63916437,0,0,0,0,0,0,0,13.21376393,24.41586555,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,11,0,0,0,0,0,5,12,6,6,6,0,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(=O)Oc1ccccc1C(O)=O,88,CC(=O)Oc1ccccc1C(=O)O,CC(=O)Oc1ccccc1C(=O)O,1,31.68026583,CC(=O)Oc1ccccc1C(O)=O,1.3101,44.7103,74.75705264,63.6,180.159,180.0422587,4,1,2,1,3,0,4,13,21,1,1,0,0,0,0,0,1,0,0,0.111111111,6.981359544,3.617453648,2.394955678,1.371154665,0.887171219,3.617453648,2.394955678,1.371154665,0.887171219,-1.84,9.249605735,3.709251258,2.297415033,4.736862954,17.04513797,4.794537184,0,17.28172588,24.26546827,0,0,0,0,5.749511833,0,19.43246472,0,0,0,6.9237372,0,29.82891977,0,5.749511833,11.93861058,9.843390349,4.794537184,4.794537184,0,0,12.13273414,12.13273414,6.9237372,0,11.31296332,0,0,0,11.93861058,9,0,0,0,0,0,0,0,0,4,0,0,5,2,0,3,3,0,2,8,4,1,1,0,0,4,1,2,0,4,2,0,0,0,0,1,0,0,0,0,0,0
Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,0,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,1,25.84221038,Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,1.2086,41.4156,71.53158832,106.51,184.107,184.0120212,7,1,2,1,5,0,7,13,17,1,1,0,0,0,0,0,1,0,0,0,6.206684756,3.139151008,2.187236849,1.366512109,0.771622776,3.139151008,2.187236849,1.366512109,0.771622776,-2.18,8.912421442,3.052359621,1.695453002,0,14.95314949,0,20.22863654,0,18.19910121,0,0,0,11.37477255,5.749511833,0,14.95314949,0,0,0,0,0,38.42773774,0,5.749511833,11.37477255,5.106527395,20.22863654,0,0,0,0,6.066367068,6.066367068,15.91298917,0,5.749511833,0,5.687386275,5.687386275,6,0,0,0,0,0,0,2,0,5,0,0,5,2,0,3,3,0,2,14,7,1,1,2,2,5,0,2,0,3,3,0,0,0,0,1,0,0,0,0,0,0
CCCC1=CC(=O)NC(=S)N1,0,CCCc1cc(=O)[nH]c(=S)[nH]1,CCCC1=CC(=O)NC(=S)N1,1,-8.041896582,CCCC1=CC(=O)NC(=S)N1,1.38499,46.2424,69.48582777,48.65,170.237,170.0513839,3,2,2,2,2,0,4,11,21,1,1,0,0,1,0,0,0,0,0,0.428571429,7.124556993,3.954507022,2.771199181,1.539605941,1.155078358,3.546258731,2.36295089,1.335481796,0.923391778,-0.9,8.199009901,3.479115436,2.307383934,5.559266895,9.967957042,6.420821623,4.771065771,19.03848682,10.86090425,0,0,0,0,0,12.21787344,0,0,9.967957042,0,19.76538045,0,26.88516491,0,0,12.21787344,4.983978521,9.778515705,0,0,0,13.34455882,18.63869507,11.76029506,0,0,4.771065771,0,5.559266895,0,7,0,0,0,0,1,0,0,2,1,0,0,3,2,0,3,3,0,2,4,3,2,2,0,0,3,2,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0
CCOC(N)=O,0,CCOC(N)=O,CCOC(N)=O,1,-13.53726953,CCOC(N)=O,0.1016,21.2094,36.08409328,52.32,89.094,89.04767846,3,2,1,1,2,1,3,6,13,0,0,0,0,0,0,0,0,0,0,0.666666667,3.600953631,1.692705341,0.752048296,0.286596466,0.142258898,1.692705341,0.752048296,0.286596466,0.142258898,-0.73,5.27,2.504192037,3.27,5.733667477,12.70012204,4.736862954,0,6.9237372,0,0,0,0,4.794537184,0,0,9.531400138,0,0,5.733667477,6.9237372,6.606881965,0,0,0,6.093240071,10.47053043,0,4.794537184,0,0,0,6.9237372,0,6.606881965,0,0,0,0,6.093240071,3,0,0,0,0,0,0,1,0,2,0,0,4,1,0,0,0,0,1,5,3,2,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCC(Br)(CO)[N+]([O-])=O,0,O=[N+]([O-])C(Br)(CO)CO,O=[N+]([O-])C(Br)(CO)CO,1,5.542738492,OCC(Br)(CO)[N+]([O-])=O,-0.6611,32.824,59.57812609,83.6,199.988,198.9480198,5,2,3,2,4,0,6,9,15,0,0,0,0,0,0,0,0,0,0,1,6.036311942,2.910297989,2.9674505,1.60285463,0.165470054,2.117299719,1.491341985,0.811756461,0.165470054,-0.2,8.8,3.09218107,1.884458489,0,32.79832304,0,10.11431827,0,0,0,0,0,0,0,15.9299439,15.13636584,0,0,0,4.448193277,13.21376393,10.11431827,0,0,15.9299439,10.21305479,10.11431827,0,0,0,0,0,20.85325495,0,13.21376393,0,0,0,4.448193277,3,0,0,1,0,0,0,1,0,4,0,0,7,1,0,0,0,0,3,10,5,2,2,1,1,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
