SMILES,bod_class,exactmw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi0n,Chi1n,Chi2n,Chi3n,Chi4n,HallKierAlpha,Kappa1,Kappa2,Kappa3,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SMR_VSA10,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,EState_VSA10,EState_VSA11,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,VSA_EState10,VSA_EState11,MQN1,MQN2,MQN3,MQN4,MQN5,MQN6,MQN7,MQN8,MQN9,MQN10,MQN11,MQN12,MQN13,MQN14,MQN15,MQN16,MQN17,MQN18,MQN19,MQN20,MQN21,MQN22,MQN23,MQN24,MQN25,MQN26,MQN27,MQN28,MQN29,MQN30,MQN31,MQN32,MQN33,MQN34,MQN35,MQN36,MQN37,MQN38,MQN39,MQN40,MQN41,MQN42
CCC1(C(=O)NC(=O)NC1=O)c2ccccc2,0,232.084792244,5.0,2.0,2.0,2.0,3.0,5.0,4.0,0.25,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,98.1995153196948,75.27000000000001,0.7003999999999997,60.09240000000002,9.318602998526268,5.333716209998575,3.8622813159634184,3.026280987123201,2.064079211310506,9.318602998526268,5.333716209998575,3.8622813159634184,3.026280987123201,2.064079211310506,-2.1699999999999995,11.319407152511545,4.008920169778623,1.5954555917347284,10.633577208012662,17.845473971041084,15.004064837540422,0.0,18.90801031431363,30.33183534230805,0.0,0.0,0.0,4.794537184071822,0.0,0.0,14.383611552215466,0.0,10.633577208012662,0.0,18.759549292013414,0.0,35.89528683400505,0.0,0.0,17.845473971041084,0.0,20.222651576156306,4.794537184071822,0.0,0.0,37.255572541998674,11.984273114623004,0.0,0.0,0.0,5.41499046939678,11.814359458703011,0.0,6.031114512338072,23.26046444043786,0.0,11.984273114623004,0.0,0.0,37.255572541998674,0.0,10.633577208012662,0.0,14.383611552215466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.416666666666664,0.0,0.0,12,0,0,0,0,0,0,0,2,3,0,17,3,3,0,9,3,0,2,8,5,2,2,0,0,4,1,0,0,7,4,1,0,0,0,2,0,0,0,0,0,0
CC(O)C(O)=O,1,90.031694052,3.0,2.0,1.0,2.0,2.0,3.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,35.21912486105855,57.53,-0.5482,19.3166,3.3800257506534046,1.5519552365135103,1.014211137204421,0.3573902296597741,0.0,3.3800257506534046,1.5519552365135103,1.014211137204421,0.3573902296597741,0.0,-0.5700000000000001,5.43,1.7676338396942162,1.7215451895043727,0.0,22.286326465381563,4.794537184071822,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.007591973753232,0.0,0.0,0.0,13.027703587438927,0.0,0.0,0.0,0.0,5.969305287951849,10.213054789681411,0.0,4.794537184071822,0.0,0.0,0.0,6.923737199690624,0.0,0.0,6.103966387748303,0.0,0.0,0.0,5.969305287951849,12.073271675700152,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,10.213054789681411,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,3,0,0,0,0,0,0,0,0,3,0,6,4,1,0,0,0,0,1,6,3,2,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,0,351.914688688,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.14285714285714285,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.73471268876256,0.0,6.495500000000002,85.03700000000002,13.365619517845046,7.343493361445482,7.3195386446082376,3.8926099904596723,2.888780652638384,9.585974787752768,5.453670996399344,4.077727698670574,2.734003689072726,1.8808753912804443,-0.11000000000000021,15.282101252716993,6.1146915736885745,3.9329189571627996,0.0,3.792535935529771,0.0,0.0,17.044809029555385,48.53093654769288,10.045266627482652,0.0,0.0,0.0,0.0,58.00469945116258,0.0,0.0,0.0,0.0,9.710441981691165,0.0,69.70310615856953,0.0,0.0,58.00469945116258,0.0,0.0,0.0,0.0,0.0,82.27016772500902,35.392371257240434,10.045266627482652,5.917906046161393,0.0,0.0,3.792535935529771,0.0,0.0,3.792535935529771,5.917906046161393,10.045266627482652,11.126902983393991,0.0,24.26546827384644,24.26546827384644,0.0,58.00469945116258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4566874527588811,17.162117591892727,30.100125416421708,0.0,14,0,5,0,0,0,0,0,0,0,0,19,8,0,0,6,6,0,2,0,0,0,0,0,0,5,0,1,1,8,4,0,0,0,0,2,0,0,0,0,0,0
OC(=O)c1c(Cl)ccc(Cl)c1Cl,1,223.919862376,2.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.66189976677836,37.3,3.3450000000000006,48.43130000000001,7.911842681426118,4.039254674046392,3.215708122072288,2.377111671444159,1.412915536505202,5.6440558433707535,2.9053612550187102,2.023343395581849,1.2578565340108583,0.7231179067520894,-0.4400000000000001,9.64650519031142,3.5193222712315353,1.6571400021196387,0.0,11.075832682792555,0.0,0.0,10.357988675768818,12.13273413692322,15.067899941223978,0.0,0.0,0.0,0.0,34.802819670697545,9.901064578912528,0.0,0.0,0.0,0.0,0.0,32.76408556984419,0.0,0.0,40.7721249586494,5.106527394840706,0.0,4.794537184071822,0.0,0.0,34.802819670697545,12.13273413692322,0.0,20.631351432920976,0.0,0.0,0.0,0.0,5.969305287951849,5.969305287951849,20.631351432920976,0.0,0.0,12.13273413692322,0.0,0.0,0.0,39.909347065538256,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.92188271604938,16.744783950617283,0.0,7,0,3,0,0,0,0,0,0,2,0,12,5,1,0,3,3,0,1,4,2,1,1,0,0,5,0,1,0,2,4,0,0,0,0,1,0,0,0,0,0,0
OCC(O)C(O)C(O)C(O)CO,1,182.079038168,6.0,6.0,5.0,6.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,69.32936411298864,121.38000000000001,-3.5854000000000004,38.198800000000006,6.406896212131347,3.481747671950047,2.4810286345909196,1.5124781619578975,0.6712088270938985,6.406896212131347,3.481747671950047,2.4810286345909196,1.5124781619578975,0.6712088270938985,-0.24000000000000002,11.760000000000002,5.413461330448892,3.015404674173516,0.0,68.26879384906327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.63916436904423,0.0,0.0,0.0,24.41586555099321,13.213763929025836,0.0,0.0,0.0,0.0,30.63916436904423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.213763929025836,24.41586555099321,0.0,0.0,0.0,0.0,37.62962948001904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.63916436904423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.33333333333333,0.0,0.0,6,0,0,0,0,0,0,0,0,6,0,12,11,0,0,0,0,0,5,12,6,6,6,0,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(=O)Oc1ccccc1C(O)=O,1,180.042258736,4.0,1.0,2.0,1.0,3.0,4.0,0.0,0.1111111111111111,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.75705264447721,63.6,1.3101,44.71030000000002,6.9813595436500515,3.6174536478673316,2.3949556783206725,1.3711546649445037,0.8871712192374142,6.9813595436500515,3.6174536478673316,2.3949556783206725,1.3711546649445037,0.8871712192374142,-1.8399999999999999,9.249605734767023,3.7092512583454584,2.297415032519928,4.736862953800049,17.045137970744406,4.794537184071822,0.0,17.28172587545944,24.26546827384644,0.0,0.0,0.0,0.0,5.749511833283905,0.0,19.4324647167844,0.0,0.0,0.0,6.923737199690624,0.0,29.828919765543436,0.0,5.749511833283905,11.938610575903699,9.843390348640755,4.794537184071822,4.794537184071822,0.0,0.0,12.13273413692322,12.13273413692322,6.923737199690624,0.0,11.3129633249809,0.0,0.0,0.0,11.938610575903699,11.938610575903699,11.3129633249809,0.0,0.0,19.056471336613843,12.13273413692322,0.0,4.736862953800049,5.106527394840706,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.166666666666664,0.0,0.0,9,0,0,0,0,0,0,0,0,4,0,13,5,2,0,3,3,0,2,8,4,1,1,0,0,4,1,2,0,4,2,0,0,0,0,1,0,0,0,0,0,0
Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,0,184.012021228,7.0,1.0,2.0,1.0,5.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.53158831669259,106.50999999999999,1.2086000000000003,41.41560000000001,6.206684755924204,3.1391510083027443,2.187236849306618,1.3665121090284869,0.7716227756934877,6.206684755924204,3.1391510083027443,2.187236849306618,1.3665121090284869,0.7716227756934877,-2.18,8.912421441774493,3.052359620957006,1.6954530023794976,0.0,14.953149492476047,0.0,20.228636537531145,0.0,18.19910120538483,0.0,0.0,0.0,11.374772549367124,5.749511833283905,0.0,14.953149492476047,0.0,0.0,0.0,0.0,0.0,38.42773774291598,0.0,5.749511833283905,11.374772549367124,5.106527394840706,20.228636537531145,0.0,0.0,0.0,0.0,6.06636706846161,6.06636706846161,15.912989166096953,0.0,5.749511833283905,0.0,5.687386274683562,5.687386274683562,26.97090648028637,0.0,6.06636706846161,12.13273413692322,0.0,0.0,0.0,0.0,5.106527394840706,20.228636537531145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.00000000000001,0.0,0.0,6,0,0,0,0,0,0,2,0,5,0,13,5,2,0,3,3,0,2,14,7,1,1,2,2,5,0,2,0,3,3,0,0,0,0,1,0,0,0,0,0,0
CCCC1=CC(=O)NC(=S)N1,0,170.05138394,3.0,2.0,2.0,2.0,2.0,4.0,0.0,0.42857142857142855,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,69.48582777182845,48.65,1.38499,46.2424,7.124556993418173,3.9545070218971734,2.771199180930306,1.5396059414112628,1.1550783583397994,6.3080604124904465,3.5462587314333103,2.362950890466443,1.3354817961793313,0.9233917778266715,-0.9000000000000001,8.199009900990099,3.4791154361633936,2.3073839344097378,5.559266895052007,9.967957041894417,6.4208216229260096,4.771065770590158,19.038486817465095,10.860904252533432,0.0,0.0,0.0,0.0,0.0,12.217873443046695,0.0,0.0,9.967957041894417,0.0,19.765380445542643,0.0,26.88516491302406,0.0,0.0,12.217873443046695,4.9839785209472085,9.77851570501903,0.0,0.0,0.0,13.344558822616634,18.638695065972705,11.760295063310071,0.0,0.0,4.771065770590158,0.0,5.559266895052007,0.0,0.0,5.559266895052007,4.771065770590158,18.53557124070048,0.0,6.06636706846161,0.0,16.89169424158504,12.217873443046695,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.876541950113378,4.790124716553287,0.0,7,0,0,0,0,1,0,0,2,1,0,11,3,2,0,3,3,0,2,4,3,2,2,0,0,3,2,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0
CCOC(N)=O,0,89.047678464,3.0,2.0,1.0,1.0,2.0,3.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.08409328318613,52.32,0.10160000000000025,21.2094,3.6009536313038994,1.6927053408400363,0.7520482956210687,0.2865964657296188,0.14225889843221234,3.6009536313038994,1.6927053408400363,0.7520482956210687,0.2865964657296188,0.14225889843221234,-0.73,5.27,2.504192037470726,3.2699999999999982,5.733667477162185,12.700122035451333,4.736862953800049,0.0,6.923737199690624,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,9.53140013787187,0.0,0.0,5.733667477162185,6.923737199690624,6.606881964512918,0.0,0.0,0.0,6.093240070938415,10.470530430962235,0.0,4.794537184071822,0.0,0.0,0.0,6.923737199690624,0.0,6.606881964512918,0.0,0.0,0.0,0.0,6.093240070938415,6.093240070938415,0.0,6.606881964512918,0.0,0.0,6.923737199690624,0.0,10.470530430962235,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.666666666666668,0.0,0.0,3,0,0,0,0,0,0,1,0,2,0,6,4,1,0,0,0,0,1,5,3,2,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCC(Br)(CO)[N+]([O-])=O,0,198.948019772,5.0,2.0,3.0,2.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.578126089155944,83.6,-0.6611,32.824,6.036311941924627,2.910297988702279,2.9674504996043916,1.6028546299428867,0.16547005383792515,4.450315402809922,2.1172997191449268,1.4913419845040004,0.8117564606021241,0.16547005383792515,-0.2,8.800000000000002,3.0921810699588486,1.8844584889399605,0.0,32.798323044043684,0.0,10.114318268765572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.929943897949348,15.136365838499081,0.0,0.0,0.0,4.448193276518764,13.213763929025836,10.114318268765572,0.0,0.0,15.929943897949348,10.213054789681411,10.114318268765572,0.0,0.0,0.0,0.0,0.0,20.85325494676702,0.0,13.213763929025836,0.0,0.0,0.0,4.448193276518764,22.58526825436227,0.0,0.0,0.0,0.0,0.0,0.0,15.929943897949348,10.213054789681411,10.114318268765572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.770833333333333,34.22222222222222,0.0,2.548611111111111,3,0,0,1,0,0,0,1,0,4,0,9,7,1,0,0,0,0,3,10,5,2,2,1,1,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
